iter	Passed	Remaining
0	17	17115
1	31	15952
2	48	16059
3	65	16253
4	82	16350
5	101	16848
6	120	17041
7	137	17060
8	155	17087
9	173	17136
10	190	17147
11	208	17190
12	227	17268
13	246	17345
14	266	17491
15	284	17515
16	302	17514
17	321	17542
18	340	17590
19	358	17569
20	376	17541
21	394	17521
22	411	17493
23	430	17489
24	446	17428
25	464	17385
26	482	17401
27	502	17441
28	521	17456
29	541	17495
30	559	17497
31	578	17503
32	597	17522
33	618	17558
34	637	17580
35	658	17642
36	677	17627
37	695	17616
38	715	17636
39	734	17639
40	753	17631
41	773	17632
42	790	17589
43	807	17545
44	826	17545
45	844	17508
46	863	17503
47	880	17463
48	898	17430
49	915	17387
50	933	17367
51	952	17368
52	971	17358
53	990	17351
54	1008	17319
55	1024	17269
56	1043	17267
57	1062	17257
58	1080	17235
59	1097	17187
60	1115	17168
61	1131	17120
62	1150	17117
63	1168	17091
64	1188	17091
65	1204	17043
66	1224	17054
67	1242	17029
68	1259	16995
69	1278	16988
70	1295	16950
71	1314	16943
72	1335	16957
73	1352	16923
74	1369	16895
75	1388	16883
76	1404	16834
77	1422	16811
78	1438	16773
79	1455	16736
80	1471	16700
81	1491	16694
82	1509	16676
83	1528	16672
84	1546	16649
85	1565	16637
86	1582	16604
87	1603	16617
88	1622	16608
89	1638	16568
90	1656	16547
91	1674	16529
92	1691	16500
93	1709	16479
94	1727	16455
95	1747	16455
96	1766	16443
97	1784	16428
98	1802	16406
99	1820	16383
100	1840	16378
101	1858	16359
102	1875	16336
103	1895	16330
104	1914	16320
105	1932	16296
106	1950	16274
107	1969	16262
108	1986	16237
109	2001	16194
110	2017	16156
111	2033	16124
112	2051	16103
113	2071	16096
114	2089	16080
115	2105	16045
116	2121	16012
117	2138	15985
118	2154	15948
119	2170	15918
120	2188	15898
121	2206	15879
122	2222	15847
123	2237	15808
124	2255	15790
125	2271	15753
126	2289	15735
127	2306	15712
128	2322	15684
129	2339	15655
130	2356	15628
131	2374	15610
132	2389	15579
133	2406	15553
134	2424	15536
135	2442	15516
136	2458	15485
137	2475	15463
138	2495	15456
139	2512	15433
140	2529	15409
141	2548	15399
142	2568	15394
143	2585	15366
144	2602	15344
145	2618	15313
146	2634	15287
147	2653	15276
148	2672	15262
149	2688	15232
150	2706	15217
151	2723	15194
152	2743	15187
153	2759	15160
154	2774	15128
155	2792	15105
156	2809	15084
157	2826	15060
158	2843	15041
159	2860	15018
160	2880	15012
161	2898	14991
162	2916	14975
163	2935	14962
164	2954	14951
165	2971	14927
166	2990	14918
167	3010	14908
168	3028	14891
169	3044	14863
170	3062	14845
171	3080	14827
172	3098	14810
173	3116	14796
174	3134	14775
175	3151	14756
176	3170	14741
177	3186	14717
178	3205	14703
179	3223	14683
180	3240	14664
181	3259	14649
182	3277	14632
183	3292	14601
184	3311	14588
185	3329	14570
186	3346	14547
187	3362	14524
188	3382	14512
189	3401	14501
190	3419	14484
191	3437	14468
192	3455	14450
193	3473	14431
194	3489	14406
195	3508	14390
196	3525	14369
197	3540	14342
198	3560	14330
199	3579	14318
200	3595	14294
201	3612	14271
202	3630	14254
203	3646	14229
204	3663	14206
205	3680	14184
206	3698	14170
207	3715	14146
208	3731	14123
209	3748	14102
210	3767	14088
211	3785	14069
212	3802	14049
213	3820	14033
214	3836	14008
215	3855	13994
216	3874	13981
217	3892	13962
218	3911	13948
219	3928	13928
220	3947	13914
221	3962	13888
222	3979	13866
223	3997	13847
224	4014	13828
225	4032	13810
226	4048	13785
227	4064	13763
228	4082	13745
229	4098	13722
230	4116	13702
231	4134	13687
232	4151	13667
233	4168	13644
234	4188	13634
235	4205	13614
236	4224	13600
237	4243	13587
238	4263	13573
239	4284	13566
240	4301	13545
241	4318	13525
242	4335	13505
243	4352	13485
244	4371	13472
245	4391	13459
246	4408	13440
247	4424	13416
248	4442	13400
249	4459	13377
250	4476	13358
251	4495	13342
252	4512	13323
253	4529	13303
254	4546	13284
255	4564	13264
256	4584	13252
257	4601	13234
258	4619	13215
259	4636	13196
260	4654	13177
261	4671	13158
262	4687	13136
263	4707	13122
264	4723	13101
265	4741	13082
266	4759	13066
267	4776	13046
268	4794	13028
269	4810	13006
270	4828	12987
271	4847	12973
272	4865	12956
